product_id,title,error
9661465493825,200 Billion Probiotics B Life Probióticos DRCaps | Salud Digestiva | 120 cápsulas,Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
9798316294465,3 in 1 Joint Fórmula de Irwin Naturals | Apoya la movilidad y flexibilidad articular | 90 cápsulas,Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
9647470870849,"3 Mag Blend | B-Life | Citrato, Óxido y Gluconato de Magnesio | Fortalecimiento Muscular | 200 cápsulas",Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
9661476569409,"3 Mag Platinum | B-Life | Citrato, Glicinato y Treonato de Magnesio | Función Muscular | 240 cápsulas",Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
9609323774273,30 Billones Probióticos + Prebióticos con Vitamina C 426mg de Bioflora | Ayuda a restaurar la flora intestinal | 35 cápsulas ácido resistentes,Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
10236749414721,"5-HTP + L-teanina, Moody de Matter | Contribuye enfoque, manejo del estrés  | 60 cápsulas",Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
9616465363265,5-HTP 100 mg de Now Foods | Apoya la regulación del sueño | 60 y 120 cápsulas vegetales,Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
9999949726017,"5-HTP 50 mg, NOW Foods |Ayuda en el manejo del estrés cotidiano|  90 cápsulas",Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
9644558680385,5-HTP Sinergia 50mg + Vitamina B6 de Designs for Health | Apoyo para la relajación y evitar el estrés | 90 Cápsulas Vegetales,Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
9609301197121,50 Billones Probióticos + Prebióticos Bioflora | Suplemento  | Salud Digestiva,Type mismatch on variable $i0 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i1 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i2 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i3 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i4 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i5 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i6 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i7 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i8 and argument input (ProductUpdateInput! / ProductInput) | Type mismatch on variable $i9 and argument input (ProductUpdateInput! / ProductInput)
